flight_id,flight_number,callsign,airline,airline_iata,airline_icao,aircraft_model,aircraft_code,registration,status,status_category,scheduled,estimated,origin_airport,origin_iata,origin_icao,origin_city,origin_country,destination_airport,destination_iata,flight_type,data_airport,data_timestamp,baggage_claim,terminal,gate,destination_icao,destination_city,destination_country
3be9f3c2,AT729,RAM729,Royal Air Maroc,AT,RAM,Boeing 737 MAX 8,B38M,CN-MAX,Estimated 14:24,estimated,1756214100,1756214656.0,Marseille Provence Airport,MRS,LFML,Marseille,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.275949,,2,,,,
3be92f5a,QR1395,QTR1395,Qatar Airways,QR,QTR,Airbus A350-941,A359,A7-ALJ,Landed 13:47,landed,1756214400,,Doha Hamad International Airport,DOH,OTHH,Doha,Qatar,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276005,,1,,,,
3bea4045,AT973,RAM973C,Royal Air Maroc,AT,RAM,Embraer E190AR,E190,CN-RGQ,Delayed 15:09,delayed,1756214700,1756217344.0,Madrid Barajas Airport,MAD,LEMD,Madrid,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276027,,2,,,,
3be9dcb4,,AOM784M,Air Ocean Maroc,,AOM,Hawker 800XP,H25B,CN-TMB,Delayed 14:59,delayed,1756214940,1756216772.0,Nottingham East Midlands Airport,EMA,EGNX,Nottingham,United Kingdom,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276049,,,,,,
,AT933,RAM933L,Royal Air Maroc (60 Years Livery),AT,RAM,Boeing 737-85P,B738,CN-RGV,Scheduled,scheduled,1756215600,,Geneva International Airport,GVA,LSGG,Geneva,Switzerland,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276070,,2,,,,
,AT410,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756215900,,Marrakesh Menara Airport,RAK,GMMX,Marrakesh,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276091,,2,,,,
3bea0831,AF1596,AFR75TG,Air France,AF,AFR,Airbus A320-214,A320,F-HEPB,Delayed 15:13,delayed,1756216200,1756217600.0,Paris Charles de Gaulle Airport,CDG,LFPG,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276111,,2,,,,
3bea0403,3O486,MAC486,Air Arabia,G9,ABY,Airbus A320-214,A320,CN-NML,Delayed 15:47,delayed,1756216200,1756219648.0,Catania Fontanarossa Airport,CTA,LICC,Catania,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276131,,2,,,,
3be99623,TK617,THY5RM,Turkish Airlines,TK,THY,Boeing 777-3F2(ER),B77W,TC-JJG,Estimated 14:37,estimated,1756216500,1756215424.0,Istanbul Airport,IST,LTFM,Istanbul,Turkey,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276152,,2,,,,
3bea3980,AT965,RAM965Y,Royal Air Maroc,AT,RAM,Boeing 737-86N,B738,CN-RGF,Delayed 15:24,delayed,1756216800,1756218240.0,Barcelona El Prat Airport,BCN,LEBL,Barcelona,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276173,,2,,,,
